t,ax,ay,az
3.2600000000000002,4.882000000000001,-10.2522,10.2522
3.27,2.9292000000000002,-10.740400000000001,6.8348
3.2800000000000002,2.9292000000000002,-9.764000000000001,6.3466000000000005
3.29,0.4882,-8.2994,4.882000000000001
3.3000000000000003,-0.9764,-6.3466000000000005,3.9056
3.31,-1.4646000000000001,-7.323,2.9292000000000002
3.3200000000000003,-1.4646000000000001,-6.8348,1.4646000000000001
3.33,-1.9528,-6.8348,0.9764
3.34,-3.4174,-6.8348,-0.4882
3.35,-2.4410000000000003,-6.3466000000000005,-1.4646000000000001
3.36,-3.4174,-6.3466000000000005,-1.4646000000000001
3.37,-3.4174,-4.393800000000001,-2.9292000000000002
3.38,-3.9056,-5.3702000000000005,-4.393800000000001
3.39,-4.393800000000001,-3.9056,-4.393800000000001
3.4,-5.3702000000000005,-3.4174,-5.8584000000000005
3.41,-4.393800000000001,-3.4174,-5.3702000000000005
3.42,-4.882000000000001,-3.4174,-5.8584000000000005
3.43,-4.882000000000001,-3.4174,-6.8348
3.44,-5.3702000000000005,-3.4174,-6.8348
3.45,-5.8584000000000005,-3.4174,-6.8348
3.46,-4.882000000000001,-3.4174,-7.323
3.47,-5.3702000000000005,-2.4410000000000003,-8.787600000000001
3.48,-5.3702000000000005,-2.4410000000000003,-7.8112
3.49,-5.3702000000000005,-1.4646000000000001,-7.8112
3.5,-6.8348,-1.4646000000000001,-8.2994
3.5100000000000002,-6.8348,-0.4882,-8.787600000000001
3.52,-7.323,-1.4646000000000001,-7.8112
3.5300000000000002,-7.323,-0.4882,-10.2522
3.54,-7.323,-0.4882,-8.787600000000001
3.5500000000000003,-7.8112,-0.4882,-9.2758
3.56,-7.323,0.0,-9.764000000000001
3.5700000000000003,-8.2994,0.0,-9.2758
3.58,-8.2994,-0.4882,-10.2522
3.59,-8.2994,0.4882,-10.2522
3.6,-8.787600000000001,0.0,-10.740400000000001
3.61,-8.787600000000001,0.0,-10.2522
3.62,-9.764000000000001,0.9764,-10.2522
3.63,-10.2522,0.9764,-11.716800000000001
3.64,-9.764000000000001,0.9764,-11.2286
3.65,-11.716800000000001,1.4646000000000001,-11.716800000000001
3.66,-10.2522,0.9764,-12.693200000000001
3.67,-10.2522,1.4646000000000001,-13.6696
3.68,-11.2286,0.4882,-13.6696
