t,wx,wy,wz
2.56,11.497888560089473,4.017449955047923,3.359758810089084
2.57,11.553228268079536,4.59532421348263,2.6073516264549434
2.58,11.608567976069601,4.489965923270778,2.9042704443247103
2.59,11.66284345890601,4.129193596181707,2.2689280275926285
2.6,11.717118941742418,4.234551886393559,2.809554405649408
2.61,11.770330199425173,4.169634152020599,2.577553322152601
2.62,11.822477231954272,3.825889427390009,1.8687793698183186
2.63,11.874624264483371,4.45271804289285,2.720159492742382
2.64,11.92464284670516,4.423983963744163,2.385992794494687
2.65,11.974661428926948,4.234551886393559,3.072418018602213
2.66,12.023615785995082,4.388864533673545,2.385992794494687
2.67,12.072570143063215,4.1973040060156315,2.3008547822022805
2.68,12.120460274977694,4.545305631260842,1.9049630250425913
2.69,12.169414632045827,4.327139474761551,2.308304358277866
2.7,12.21836898911396,3.988715875899236,2.950032125931879
2.71,12.267323346182094,4.234551886393559,1.5750532274095168
2.72,12.316277703250229,4.903949508042603,3.8344032286192493
2.73,12.366296285472018,4.92416978596205,3.1469137793580684
2.74,12.417379092847462,4.688976027004277,2.7137741418204513
2.75,12.468461900222904,4.983766394566735,3.0500692903754563
2.7600000000000002,12.520608932752003,4.38780030851989,2.7339944197398975
2.77,12.572755965281102,5.372208575650839,3.0096287345365633
2.7800000000000002,12.624902997810201,5.2774925369755366,3.4810804776057633
2.79,12.6770500303393,5.268978735746296,3.871651108997177
2.8000000000000003,12.728132837714744,4.5101862011902245,3.118179700209381
2.81,12.779215645090188,5.155106644305202,2.573296421537981
2.82,12.830298452465632,5.101895386622449,2.643535281679216
2.83,12.88031703468742,5.2902632388193975,3.169262507584825
2.84,12.929271391755554,5.1529781939978925,3.573668065973755
2.85,12.978225748823688,5.083803559010312,2.831903133876165
2.86,13.026115880738166,4.8911788061987425,2.779756101347066
2.87,13.072941787498989,4.694297152772553,4.397378334902786
2.88,13.119767694259814,5.19448297499044,3.456603299071696
2.89,13.166593601020637,4.868830077971986,3.317189803942881
2.9,13.214483732935115,5.272171411207261,3.4810804776057633
2.91,13.261309639695938,4.559140558258358,2.295533656434005
2.92,13.309199771610418,5.154042419151547,3.2448224934943357
2.93,13.357089903524896,4.824132621518473,3.452346398457076
2.94,13.40604426059303,5.350924072577737,5.160427770073477
2.95,13.454998617661163,5.025271175559283,2.9106557952466408
2.96,13.503952974729296,5.095510035700518,3.4981080800642443
2.97,13.553971556951085,5.209382127141612,3.9088989893751047
2.98,13.603990139172874,5.427548283640903,3.8344032286192493
2.99,13.652944496241007,5.3030339406632585,2.9383256492416727
3.0,13.70189885330914,5.357309423499667,3.6311362242711294
3.0100000000000002,13.749788985223619,5.283877887897467,3.281006148718608
3.02,13.797679117138099,5.235987755982988,4.202625131783907
3.0300000000000002,13.843440798745267,5.634007963449988,4.38567185821258
3.04,13.889202480352434,5.825568491107902,3.63965002550037
3.0500000000000003,13.932835711652293,5.160427770073477,3.869522658689867
3.06,13.97646894295215,5.457346587943245,3.5502551125933435
3.0700000000000003,14.019037949098355,5.60101698368668,3.652420727344231
3.08,14.060542730090903,5.642521764679229,3.818439851314423
3.09,14.10204751108345,5.108280737544379,3.8226967519290436
3.1,14.142488066922343,5.2168317032171965,3.7865130967047707
3.11,14.183992847914892,5.417970257258006,4.224973860010663
3.12,14.224433403753785,5.725531326664324,4.268607091310521
3.13,14.264873959592677,5.872394397868725,4.033413332352749
3.14,14.304250290277915,5.6499713407548136,4.345231302373687
3.15,14.343626620963153,6.011807892997541,3.355501909474464
3.16,14.383002951648391,6.028835495456022,4.003615028050407
3.17,14.421315057179974,5.837274967798108,3.8514308310777308
3.18,14.458562937557902,6.4257914777693665,4.202625131783907
3.19,14.49368236762852,5.892614675788172,3.665191429188092
3.2,14.527737572545483,5.516943196547929,3.0138856351511834
3.21,14.56072855230879,5.566961778769718,4.752829536223582
3.22,14.592655306918441,6.194854619426215,3.629007773963819
3.23,14.622453611220784,6.226781374035867,4.032349107199094
3.24,14.650123465215817,6.374708670393923,3.8450454801558003
3.25,14.676729094057194,5.891550450634517,3.8791006850727627
3.2600000000000002,14.702270497744916,5.877715523637001,4.3388459514517566
3.27,14.727811901432638,6.103331256211877,4.105780642801294
3.2800000000000002,14.75122485481305,5.664870492905985,4.299469620766518
3.29,14.77463780819346,6.122487308977669,4.729416582843171
3.3000000000000003,14.795922311266562,5.569090229077028,3.788641547012081
3.31,14.818271039493318,5.773421458578803,3.8759080096117975
3.3200000000000003,14.838491317412766,6.062890700372985,4.222845409703353
3.33,14.858711595332212,6.196983069733524,3.8908071617629685
3.34,14.877867648098004,5.8000270874201805,3.8067333746242173
3.35,14.89595947571014,6.378965571008543,4.153670774715773
3.36,14.912987078168621,6.144836037204426,4.378222282136995
3.37,14.927886230319793,6.181019692428698,4.616608716555732
3.38,14.942785382470962,5.339217595887531,3.665191429188092
3.39,14.955556084314823,5.951147059239202,4.118551344645155
3.4,14.96726256100503,5.99903719115368,4.445268466817264
3.41,14.977904812541581,6.060762250065674,3.3799790880085308
3.42,14.986418613770821,6.256579678338209,3.8344032286192493
3.43,14.994932415000061,5.796834411959215,4.168569926866944
3.44,15.003446216229303,6.666306362495415,3.9397615188311024
3.45,15.009831567151233,5.8340822923371425,4.412277487053958
3.46,15.01728114322682,6.186340818196974,4.033413332352749
3.47,15.023666494148749,6.016064793612161,3.759907467863394
3.48,15.03005184507068,5.995844515692714,4.791141641755165
3.49,15.03643719599261,6.600324402968799,5.2902632388193975
3.5,15.042822546914541,5.669127393520605,4.8358390982086785
3.5100000000000002,15.048143672682816,6.151221388126356,4.58042506133146
3.52,15.053464798451092,6.021385919380436,4.432497764973403
3.5300000000000002,15.058785924219366,5.985202264156164,4.166441476559634
